iter	Passed	Remaining
0	1016	1015487
1	1022	510352
2	1035	344283
3	1044	259956
4	1046	208286
5	1048	173765
6	1051	149225
7	1059	131394
8	1061	116910
9	1063	105281
10	1065	95786
11	1105	90994
12	1106	84013
13	1107	78029
14	1109	72838
15	1110	68295
16	1111	64286
17	1113	60726
18	1114	57536
19	1119	54835
20	1120	52235
21	1121	49871
22	1123	47709
23	1124	45729
24	1125	43902
25	1126	42217
26	1128	40655
27	1129	39205
28	1132	37913
29	1140	36867
30	1141	35689
31	1143	34578
32	1144	33536
33	1149	32667
34	1151	31736
35	1152	30864
36	1154	30040
37	1155	29252
38	1159	28583
39	1161	27875
40	1163	27204
41	1164	26562
42	1168	26000
43	1169	25412
44	1170	24847
45	1172	24309
46	1173	23792
47	1174	23299
48	1176	22824
49	1177	22369
50	1178	21935
51	1180	21514
52	1185	21188
53	1187	20800
54	1188	20422
55	1189	20059
56	1191	19706
57	1192	19369
58	1193	19041
59	1195	18723
60	1198	18450
61	1206	18250
62	1207	17960
63	1208	17680
64	1210	17410
65	1216	17209
66	1218	16967
67	1219	16715
68	1220	16469
69	1221	16229
70	1222	15996
71	1223	15770
72	1224	15549
73	1225	15335
74	1229	15164
75	1231	14976
76	1232	14777
77	1267	14988
78	1269	14799
79	1271	14617
80	1273	14444
81	1274	14268
82	1281	14155
83	1282	13988
84	1283	13820
85	1284	13655
86	1285	13494
87	1286	13337
88	1289	13197
89	1294	13089
90	1295	12941
91	1296	12795
92	1297	12652
93	1298	12511
94	1298	12374
95	1299	12239
96	1300	12107
97	1301	11979
98	1303	11859
99	1304	11736
100	1304	11615
101	1310	11537
102	1312	11426
103	1313	11313
104	1314	11201
105	1315	11093
106	1316	10990
107	1318	10886
108	1318	10781
109	1319	10679
110	1324	10605
111	1325	10508
112	1326	10411
113	1332	10357
114	1336	10286
115	1343	10241
116	1345	10154
117	1347	10071
118	1349	9988
119	1350	9904
120	1352	9822
121	1356	9764
122	1358	9685
123	1359	9606
124	1361	9527
125	1362	9448
126	1363	9369
127	1364	9294
128	1365	9220
129	1369	9164
130	1370	9090
131	1371	9016
132	1372	8944
133	1372	8873
134	1373	8802
135	1374	8733
136	1375	8664
137	1376	8597
138	1377	8530
139	1378	8466
140	1379	8403
141	1380	8338
142	1380	8275
143	1385	8235
144	1387	8179
145	1388	8119
146	1388	8059
147	1389	8001
148	1390	7943
149	1391	7885
150	1392	7829
151	1393	7773
152	1394	7718
153	1395	7663
154	1395	7610
155	1400	7574
156	1400	7522
157	1401	7470
158	1402	7419
159	1403	7368
160	1404	7317
161	1404	7267
162	1405	7218
163	1406	7170
164	1407	7122
165	1408	7075
166	1409	7028
167	1409	6982
168	1410	6937
169	1414	6906
170	1415	6861
171	1416	6817
172	1417	6774
173	1418	6731
174	1418	6688
175	1419	6646
176	1420	6604
177	1421	6563
178	1422	6522
179	1422	6482
180	1423	6442
181	1424	6403
182	1425	6364
183	1428	6336
184	1430	6302
185	1431	6264
186	1432	6226
187	1433	6189
188	1433	6153
189	1434	6116
190	1435	6080
191	1436	6045
192	1437	6009
193	1438	5974
194	1438	5940
195	1439	5906
196	1443	5882
197	1444	5852
198	1446	5821
199	1447	5789
200	1448	5756
201	1449	5724
202	1450	5693
203	1451	5662
204	1452	5632
205	1453	5601
206	1454	5570
207	1455	5540
208	1460	5526
209	1461	5496
210	1462	5467
211	1462	5437
212	1463	5408
213	1464	5379
214	1465	5350
215	1466	5322
216	1467	5293
217	1468	5266
218	1468	5238
219	1469	5210
220	1473	5192
221	1474	5167
222	1475	5140
223	1476	5114
224	1477	5087
225	1477	5061
226	1478	5035
227	1479	5010
228	1480	4984
229	1481	4959
230	1482	4934
231	1483	4909
232	1484	4885
233	1484	4860
234	1488	4843
235	1488	4820
236	1489	4796
237	1490	4772
238	1491	4748
239	1492	4725
240	1493	4702
241	1493	4679
242	1494	4656
243	1495	4633
244	1496	4612
245	1497	4590
246	1498	4568
247	1499	4546
248	1500	4524
249	1501	4504
250	1502	4484
251	1503	4463
252	1504	4442
253	1505	4421
254	1506	4400
255	1506	4379
256	1507	4359
257	1508	4339
258	1509	4319
259	1510	4300
260	1511	4280
261	1512	4260
262	1516	4250
263	1517	4231
264	1518	4211
265	1519	4192
266	1520	4173
267	1520	4154
268	1521	4135
269	1522	4117
270	1523	4098
271	1524	4080
272	1525	4061
273	1526	4043
274	1526	4025
275	1527	4008
276	1529	3991
277	1530	3973
278	1530	3956
279	1531	3938
280	1532	3921
281	1533	3904
282	1534	3887
283	1535	3870
284	1535	3853
285	1536	3836
286	1537	3819
287	1538	3803
288	1539	3786
289	1540	3770
290	1541	3754
291	1542	3740
292	1543	3724
293	1544	3709
294	1545	3694
295	1546	3678
296	1547	3663
297	1548	3648
298	1549	3633
299	1550	3618
300	1551	3603
301	1552	3587
302	1553	3572
303	1554	3557
304	1557	3548
305	1558	3533
306	1558	3519
307	1559	3504
308	1560	3489
309	1561	3475
310	1562	3461
311	1563	3447
312	1564	3432
313	1564	3418
314	1565	3404
315	1566	3390
316	1567	3377
317	1568	3363
318	1569	3349
319	1572	3341
320	1573	3328
321	1574	3315
322	1576	3303
323	1577	3290
324	1578	3277
325	1578	3264
326	1579	3251
327	1580	3238
328	1581	3225
329	1582	3212
330	1583	3199
331	1586	3192
332	1587	3180
333	1588	3168
334	1589	3155
335	1590	3143
336	1591	3130
337	1592	3118
338	1593	3106
339	1593	3094
340	1594	3081
341	1595	3069
342	1596	3057
343	1597	3045
344	1598	3033
345	1601	3026
346	1602	3014
347	1602	3003
348	1603	2991
349	1604	2980
350	1605	2968
351	1606	2956
352	1607	2945
353	1607	2934
354	1608	2923
355	1609	2912
356	1610	2901
357	1611	2889
358	1612	2879
359	1615	2872
360	1616	2861
361	1617	2851
362	1618	2840
363	1619	2829
364	1620	2818
365	1621	2808
366	1622	2797
367	1622	2787
368	1623	2776
369	1624	2766
370	1625	2755
371	1626	2745
372	1627	2735
373	1627	2724
374	1630	2717
375	1631	2708
376	1632	2698
377	1633	2688
378	1634	2678
379	1635	2668
380	1636	2659
381	1637	2649
382	1639	2640
383	1640	2631
384	1641	2621
385	1642	2612
386	1646	2607
387	1647	2598
388	1648	2589
389	1649	2579
390	1650	2570
391	1650	2560
392	1651	2551
393	1652	2541
394	1653	2532
395	1654	2523
396	1655	2513
397	1656	2504
398	1656	2495
399	1660	2490
400	1661	2482
401	1662	2473
402	1663	2464
403	1664	2455
404	1665	2446
405	1665	2437
406	1666	2428
407	1667	2419
408	1668	2410
409	1669	2402
410	1670	2393
411	1671	2385
412	1674	2380
413	1675	2371
414	1676	2363
415	1677	2354
416	1678	2346
417	1679	2338
418	1680	2329
419	1680	2321
420	1681	2312
421	1682	2304
422	1683	2296
423	1684	2288
424	1685	2279
425	1685	2271
426	1686	2263
427	1690	2258
428	1690	2250
429	1691	2242
430	1692	2234
431	1693	2226
432	1694	2218
433	1695	2210
434	1696	2203
435	1696	2195
436	1697	2187
437	1698	2179
438	1699	2171
439	1700	2163
440	1701	2156
441	1701	2148
442	1703	2141
443	1704	2134
444	1705	2126
445	1706	2119
446	1706	2111
447	1707	2104
448	1708	2096
449	1709	2089
450	1710	2081
451	1711	2074
452	1711	2067
453	1712	2059
454	1713	2052
455	1714	2045
456	1718	2041
457	1719	2034
458	1720	2027
459	1721	2020
460	1722	2013
461	1723	2006
462	1724	1999
463	1725	1993
464	1726	1986
465	1727	1979
466	1727	1972
467	1728	1965
468	1729	1958
469	1731	1952
470	1732	1945
471	1733	1938
472	1733	1931
473	1734	1924
474	1735	1918
475	1736	1911
476	1737	1904
477	1737	1897
478	1738	1891
479	1739	1884
480	1740	1877
481	1741	1871
482	1742	1865
483	1745	1860
484	1746	1854
485	1747	1848
486	1748	1841
487	1749	1835
488	1749	1828
489	1750	1822
490	1751	1815
491	1752	1809
492	1753	1803
493	1754	1796
494	1754	1790
495	1755	1784
496	1756	1777
497	1757	1771
498	1760	1767
499	1761	1761
500	1762	1755
501	1763	1748
502	1763	1742
503	1764	1736
504	1765	1730
505	1766	1724
506	1767	1718
507	1768	1712
508	1769	1707
509	1770	1701
510	1771	1695
511	1772	1689
512	1776	1686
513	1777	1680
514	1778	1674
515	1779	1668
516	1779	1662
517	1780	1656
518	1781	1651
519	1782	1645
520	1783	1639
521	1784	1633
522	1784	1627
523	1785	1622
524	1786	1616
525	1789	1612
526	1789	1606
527	1790	1600
528	1791	1595
529	1792	1589
530	1793	1583
531	1794	1578
532	1795	1572
533	1795	1567
534	1796	1561
535	1797	1556
536	1798	1550
537	1799	1545
538	1800	1539
539	1801	1534
540	1801	1528
541	1803	1523
542	1804	1518
543	1805	1513
544	1805	1507
545	1806	1502
546	1807	1496
547	1808	1491
548	1809	1486
549	1810	1481
550	1811	1475
551	1811	1470
552	1812	1465
553	1813	1460
554	1814	1454
555	1817	1451
556	1818	1445
557	1819	1441
558	1820	1435
559	1820	1430
560	1821	1425
561	1822	1420
562	1823	1415
563	1824	1410
564	1825	1405
565	1826	1400
566	1827	1395
567	1828	1390
568	1828	1385
569	1829	1380
570	1831	1375
571	1832	1371
572	1833	1366
573	1834	1361
574	1835	1356
575	1836	1351
576	1836	1346
577	1837	1341
578	1838	1336
579	1839	1331
580	1840	1327
581	1841	1322
582	1841	1317
583	1845	1314
584	1847	1310
585	1848	1305
586	1849	1300
587	1849	1296
588	1850	1291
589	1851	1286
590	1852	1282
591	1853	1277
592	1854	1272
593	1854	1267
594	1855	1263
595	1856	1258
596	1859	1255
597	1860	1250
598	1861	1246
599	1862	1241
600	1863	1236
601	1864	1232
602	1864	1227
603	1865	1223
604	1866	1218
605	1867	1214
606	1868	1209
607	1869	1205
608	1870	1200
609	1870	1196
610	1871	1191
611	1874	1188
612	1875	1184
613	1876	1179
614	1877	1175
615	1878	1170
